# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here
#
#
EkectroniclBreakbeatlJungle|Electronic;Breakbeat;Jungle
Bliss|Pop;Etherial Pop
Blizzard-Wave|Blizzard-Wave
New Wve|New Wave
Bluegrass|Bluegrass
Blues|Blues
Opera|Opera
ndie Rock|Indie Rock
Romanticism|Romanticism
Blues Rock|Blues Rock
Blues-Rock|Blues Rock
Bob|Jazz;Bop
Boogie|Jazz;Boogie
Bootleg|Bootleg
Booty Bass|Electronic;Breaks;Big Beat
Bop|Bop
Bossa Nova|Bossa Nova
Bragg|Rock;Alt. Rock;Indie
Brass & Military|Brass & Military
Brazil|Latin;Bossanova
Break Beat|Electronic;Break Beat
Breakbeat|Electronic;Break Beat
Breakcore|Breakcore
Breaks|Electronic;Breaks
Breaks, Big Beat, Ambient, Dubstep, Techno, Electro House|Electronic;Breaks;Big Beat;Ambient;Dubstep;Techno;Electro House
Brexit|Brexit
Brit Pop|Britpop
Brit-Pop|Britpop
Brit-pop|Britpop
Brit Pop Rock|Britpop;Rock
Brit Pop, Synth-Pop|Britpop;Synth-pop;Pop
Brit Rock|Britpop;Rock
BritPop|Britpop
Britpop|Britpop
The Broadest Beats|Electronic;Beats;Beat Music
Broken Beat|Electronic;Broken Beat
Bstract|Electronic;Industrial;Abstract;Techno
Cabaret|Cabaret
Cajun Punk|Cajun Punk
Calypso|Calypso;Reggae
Canterbury Scene|Rock;Canterbury Scene
Carribean|Caribean;Reggae
Cha-Cha|Latin;Jazz;Cha-Cha
Chamber Music|Classical;Chamber Music
Chamber Rock|Chamber Rock;Rock
Chanson|Chanson
Chat|Spoken Word
Chetto House|Ghetto House;House
Chicago|Electronic;Noise
Chicago Blues|Chicago Blues
Chill|Electronic;Ambient;Chill
Chill Elektronic|Electronic;Ambient;Chill
Chill Out|Electronic;Ambient;Chill;Chillout
Chillout|Electronic;Ambient;Chill;Chillout
Chillwave|Electronic;Ambient;Chill;Chillwave
Chiptune|Electronic;Chiptune
Choral|Choral
Cinematic|Cinematic
Ck|Rock
